claim_id,category,claim,value,unit,experiment_version,dataset_split,model,precision,runtime,hardware,source_file,source_location,verification_status,notes
RT01,runtime,CPU pipeline FP32,23.3,FPS,v2,stratified test subset,YOLOv8s pipeline,FP32,ORT CPU,unknown,README.md,545,VERIFIED_DOC_ONLY,Raw timing log missing
RT02,runtime,CPU pipeline INT8,56.3,FPS,v2,stratified test subset,YOLOv8s pipeline,Static INT8,ORT CPU,unknown,README.md,545-548,VERIFIED_DOC_ONLY,E0 detector-only and E3 all variants both reported; no raw latency samples
RT03,runtime,Historical CPU pipeline INT8,57.7,FPS,v1 Phase5,test subset,YOLOv8s pipeline,Static INT8,ORT CPU,unknown,docs/EXPERIMENTS.md,289-297,VERIFIED_DOC_ONLY,Do not substitute for v2 56.3 FPS
RT04,runtime,WebGPU FP32 detector,62,FPS,v3 spike,unrecorded,YOLOv8s detector,FP32,ORT-Web WebGPU,unknown,README.md,675,VERIFIED_DOC_ONLY,No saved run counts device browser version or timing log
RT05,runtime,WebGPU FP16 detector,24,FPS,v3 spike,unrecorded,YOLOv8s detector,FP16,ORT-Web WebGPU,unknown,README.md,676,VERIFIED_DOC_ONLY,Kernel immaturity causal explanation unsupported by profiling
RT06,runtime,WASM INT8 detector,2.2,FPS,v3 spike,unrecorded,YOLOv8s detector,INT8,ORT-Web WASM,unknown,README.md,677,VERIFIED_DOC_ONLY,Precision-runtime pair comparison
RT07,runtime,INT8 WebGPU failure,int32 DequantizeLinear unsupported,,v3 spike,unrecorded,YOLOv8s detector,INT8,ORT-Web WebGPU,unknown,README.md,678,VERIFIED_DOC_ONLY,Original error trace missing
RT08,runtime,CPU versus browser comparison,not controlled,,v2 versus v3,different or unrecorded,whole pipeline versus detector,various,CPU versus browser,unknown,README.md,537-552;671-678,NOT_COMPARABLE,Backend precision workload and generation differ
RT09,runtime,Benchmark component defaults,3 warmup;50 runs,count,Phase5,random dummy,components,various,ORT CPU,unknown,scripts/archive/benchmark_pipeline.py,36-46;65-98;272-273,VERIFIED_RAW,Code fact only not evidence that defaults were used historically
RT10,runtime,Static INT8 timing defaults,5 warmup;50 runs,count,Phase5/v3,fixed input,components,FP32;INT8,ORT CPU,unknown,scripts/archive/quantize_onnx_real.py,247-259,VERIFIED_RAW,Code fact; aggregate mean no raw samples median or std
RT11,runtime,Browser FPS aggregation,20,rolling samples,v3 spike,video/image/synthetic,detector,various,ORT-Web,unknown,web_modern/public/spike/spike.js,336-358,VERIFIED_RAW,Mean reciprocal frame intervals differs from N divided by total duration
RT12,environment,CDN ORT-Web version and WASM threads,1.22.0;1,version;threads,current source,NA,NA,NA,ORT-Web,unknown,web_modern/public/spike/spike.js,79-84,VERIFIED_RAW,Current source configuration not historical run manifest
RT13,environment,Server dependency specification,1.23.2,ORT version,current requirements,NA,NA,NA,ORT GPU;CPU,unknown,requirements.txt;requirements-hf.txt,79;6,VERIFIED_RAW,Specification only not historical installed package snapshot
RT14,environment,v4 training hardware log,RTX 5070 12227MiB,,v4,training,YOLO26n,NA,torch 2.11.0+cu128,NVIDIA GeForce RTX 5070,logs/train_v4.log,3,VERIFIED_RAW,Python 3.10.19 Ultralytics 8.4.56; cannot attribute to browser or v2 benchmark
RT15,runtime,Historical hardware and latency dispersion,,,v2/v3,NA,NA,various,CPU/WebGPU/WASM,unknown,logs/,runtime logs not found,MISSING,CPU RAM OS browser version median std and repetitions absent
RT16,runtime,HF Docker throughput,,,deployment,NA,pipeline,NA,ORT CPU,unknown,Dockerfile;requirements-hf.txt,configuration only,MISSING,Packaging does not demonstrate deployment FPS
RT17,runtime,Plot FPS numbers are constants,56.3,FPS,v2,stratified test claimed,pipeline,INT8,ORT CPU,unknown,scripts/archive/plot_v2_extras.py,34-40,VERIFIED_RAW,Raw source fact only; plotted numbers remain DOC_ONLY empirical claims
TR01,tracking,E0 MOTA,0.295,score,v2,test two sequences,YOLOv8s ByteTrack,FP32,ORT CPU,unknown,README.md,437,VERIFIED_DOC_ONLY,No saved per-frame predictions or run log
TR02,tracking,E1 MOTA,0.291,score,v2,test two sequences,YOLOv8s ByteTrack,W8A8 fake quant,ORT CPU,unknown,README.md,438,VERIFIED_DOC_ONLY,No saved per-frame predictions or run log
TR03,tracking,E4 MOTA,0.176,score,v2,test two sequences,YOLOv8s ByteTrack,W4A16 fake quant,ORT CPU,unknown,README.md,439,VERIFIED_DOC_ONLY,No saved per-frame predictions or run log
TR04,tracking,E5 MOTA,0.280,score,v2,test two sequences,YOLOv8s ByteTrack,SmoothQuant fake quant,ORT CPU,unknown,README.md,440,VERIFIED_DOC_ONLY,No saved per-frame predictions or run log
TR05,tracking,E6 MOTA,0.068,score,v2 table,test two sequences claimed,YOLOv8s BoT-SORT,W8A8,ORT CPU,unknown,README.md,441,VERIFIED_DOC_ONLY,E6 FPS separately originates in v1
TR06,tracking,E0 reported IDF1 and HOTA,0.495;0.570,score,v2,test two sequences,ByteTrack,FP32,ORT CPU,unknown,README.md,437,VERIFIED_DOC_ONLY,Actually proxy metric implementations
TR07,metric,IDF1 name versus implementation,framewise detection F1,,current evaluator,test,ByteTrack/BoT-SORT,NA,Python,NA,src/track/eval_tracking.py,270-300,CONFLICT,Every bbox match increments IDTP irrespective of identity switches; no global ID assignment
TR08,metric,HOTA name versus implementation,single-threshold proxy,,current evaluator,test,ByteTrack/BoT-SORT,NA,Python,NA,src/track/eval_tracking.py,302-305,CONFLICT,AssA TP/(TP+IDSW); not standard HOTA threshold sweep and association
TR09,metric,GT identity,pseudo greedy IoU 0.4,,current evaluator,test,ByteTrack/BoT-SORT,NA,Python,NA,src/track/eval_tracking.py,157-202,VERIFIED_RAW,Source fact; no native identity labels used
TR10,dataset,Current night tracking denominator,16;33,frames;object instances,current snapshot,test,c_validation_1920_1200_night_1,NA,NA,NA,data/aihub_traffic/test/,images and labels/c_validation_1920_1200_night_1,VERIFIED_RAW,Metadata count only traffic_sign/light; missing paired JSON0; no past-run linkage
TR11,dataset,Current day tracking denominator,2401;6739,frames;object instances,current snapshot,test,d_validation_1920_1080_daylight_2,NA,NA,NA,data/aihub_traffic/test/,images and labels/d_validation_1920_1080_daylight_2,VERIFIED_RAW,Metadata count only traffic_sign/light; missing paired JSON0; no past-run linkage
TR12,dataset,Current tracking total and average,2417;6772;3386,frames;objects;mean objects,current snapshot,test two sequences,NA,NA,NA,NA,data/aihub_traffic/test/,images and labels two sequences,VERIFIED_RAW,3386 is sequence mean object-instance count not unique objects
TR13,metric,Aggregation,sequence macro average,,current evaluator,test,ByteTrack/BoT-SORT,NA,Python,NA,src/track/eval_tracking.py,401-405,VERIFIED_RAW,GT FP FN IDSW also averaged; night16/day2401 each50percent
TR14,tracking,E6 FPS against v2 results,20.4,FPS,v1 against v2,mismatched generation,BoT-SORT,W8A8,ORT CPU,unknown,README.md,500;551,NOT_COMPARABLE,README footnote explicitly says v1 E6 FPS
